"source_article","stratum","citation_key","year","title","journal","doi","pmid","url","bibtex_entry_type","data_dir","extraction_files","match_status","notes"
"kazeminasab2025","Creatine","kazeminasabEffectsCreatineSupplementation2025","2025","The Effects of Creatine Supplementation on Upper- and Lower-Body Strength and Power: A Systematic Review and Meta-Analysis","Nutrients","10.3390/nu17172748","","","article","data/Creatine/kazeminasab2025","kazeminasab2025_creatine_leg_press_strength.csv; kazeminasab2025_creatine_leg_press_strength.xlsx; kazeminasab2025_creatine_squat_strength.csv; kazeminasab2025_creatine_squat_strength.xlsx; kazeminasab2025_creatine_vertical_jump.csv; kazeminasab2025_creatine_vertical_jump.xlsx; kazeminasab2025_creatine_wingate_peak_power.csv; kazeminasab2025_creatine_wingate_peak_power.xlsx","exact",""
"lanhers2015","Creatine","lanhersCreatineSupplementationLower2015","2015","Creatine Supplementation and Lower Limb Strength Performance: A Systematic Review and Meta-Analyses","Sports Medicine","10.1007/s40279-015-0337-4","","","article","data/Creatine/lanhers2015","lanhers2015_creatine_leg_press_strength.csv; lanhers2015_creatine_leg_press_strength.xlsx; lanhers2015_creatine_squat_strength.csv; lanhers2015_creatine_squat_strength.xlsx","exact",""
"lanhers2017","Creatine","lanhersCreatineSupplementationUpper2017","2017","Creatine Supplementation and Upper Limb Strength Performance: A Systematic Review and Meta-Analysis","Sports Medicine","10.1007/s40279-016-0571-4","","","article","data/Creatine/lanhers2017","lanhers2017_creatine_chest_strength.xlsx; lanhers2017_creatine_chest_strength_excl.csv","exact","2 bib entries match exactly; selected canonical key; other matches (likely duplicate bib entries for the same paper): Lanhers_2016"
"ajala2013","Diet","ajalaSystematicReviewMetaanalysis2013","2013","Systematic Review and Meta-Analysis of Different Dietary Approaches to the Management of Type 2 Diabetes","The American Journal of Clinical Nutrition","10.3945/ajcn.112.042457","","","article","data/Diet/ajala2013","ajala2013_diet_hba1c.csv; ajala2013_diet_hba1c.xlsx","exact",""
"brandmiller2003","Diet","brand-millerLowGlycemicIndex2003","2003","Low--Glycemic Index Diets in the Management of Diabetes","Diabetes Care","10.2337/diacare.26.8.2261","","","article","data/Diet/brandmiller2003","brandmiller2003_diet_glycemic_control.csv; brandmiller2003_diet_glycemic_control.xlsx","exact",""
"bueno2013","Diet","buenoVerylowcarbohydrateKetogenicDiet2013","2013","Very-Low-Carbohydrate Ketogenic Diet \emphv. Low-Fat Diet for Long-Term Weight Loss: A Meta-Analysis of Randomised Controlled Trials","British Journal of Nutrition","10.1017/S0007114513000548","","","article","data/Diet/bueno2013","bueno2013_diet_body_weight.csv; bueno2013_diet_body_weight.xlsx; bueno2013_diet_hdl_cholesterol.csv; bueno2013_diet_hdl_cholesterol.xlsx; bueno2013_diet_ldl_cholesterol.csv; bueno2013_diet_ldl_cholesterol.xlsx; bueno2013_diet_triglycerides.csv; bueno2013_diet_triglycerides.xlsx","exact",""
"cowell2021","Diet","cowellEffectsMediterraneanDiet2021","2021","Effects of a Mediterranean Diet on Blood Pressure: A Systematic Review and Meta-Analysis of Randomized Controlled Trials and Observational Studies","Journal of Hypertension","10.1097/HJH.0000000000002667","","","article","data/Diet/cowell2021","cowell2021_diet_diastolic_blood_pressure.csv; cowell2021_diet_diastolic_blood_pressure.xlsx; cowell2021_diet_systolic_blood_pressure.csv; cowell2021_diet_systolic_blood_pressure.xlsx","exact",""
"firth2019","Diet","firthEffectsDietaryImprovement2019","2019","The Effects of Dietary Improvement on Symptoms of Depression and Anxiety: A Meta-Analysis of Randomized Controlled Trials","Psychosomatic Medicine","10.1097/PSY.0000000000000673","","","article","data/Diet/firth2019","firth2019_diet_anxiety.csv; firth2019_diet_anxiety.xlsx; firth2019_diet_depression.csv; firth2019_diet_depression.xlsx","exact",""
"greyling2020","Diet","greylingAcuteGlycemicInsulinemic2020","2020","Acute Glycemic and Insulinemic Effects of Low-Energy Sweeteners: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","The American Journal of Clinical Nutrition","10.1093/ajcn/nqaa167","","","article","data/Diet/greyling2020","greyling2020_diet_nns_postprandial_glucose.csv; greyling2020_diet_nns_postprandial_glucose.xlsx; greyling2020_diet_nns_postprandial_insulin.csv; greyling2020_diet_nns_postprandial_insulin.xlsx","exact",""
"huang2015","Diet","huangVegetarianDietsWeight2016","2016","Vegetarian Diets and Weight Reduction: A Meta-Analysis of Randomized Controlled Trials","Journal of General Internal Medicine","10.1007/s11606-015-3390-7","","","article","data/Diet/huang2015","huang2015_diet_body_weight.csv; huang2015_diet_body_weight.xlsx","probable","matched by surname; bib year 2016 vs src year 2015 (yr-diff 1, within ±1)"
"laviadamolina2020","Diet","laviada-molinaEffectsNonnutritiveSweeteners2020","2020","Effects of Nonnutritive Sweeteners on Body Weight and BMI in Diverse Clinical Contexts: Systematic Review and Meta-analysis","Obesity Reviews","10.1111/obr.13020","","","article","data/Diet/laviadamolina2020","laviadamolina2020_diet_nns_body_weight.csv; laviadamolina2020_diet_nns_body_weight.xlsx","exact",""
"li2025","Diet","liEffectsNonnutritiveSweeteners2025","2025","Effects of Non-Nutritive Sweeteners on Body Weight: A Systematic Review and Meta-Analysis of Randomized Controlled Trial (RCT) Studies","Journal of Endocrinological Investigation","10.1007/s40618-025-02654-w","","","article","data/Diet/li2025","li2025_diet_nns_body_weight.csv; li2025_diet_nns_body_weight.xlsx","exact",""
"ndanuko2016","Diet","ndanukoDietaryPatternsBlood2016","2016","Dietary Patterns and Blood Pressure in Adults: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","Advances in Nutrition","10.3945/an.115.009753","","","article","data/Diet/ndanuko2016","ndanuko2016_diet_diastolic_blood_pressure.csv; ndanuko2016_diet_diastolic_blood_pressure.xlsx; ndanuko2016_diet_systolic_blood_pressure.csv; ndanuko2016_diet_systolic_blood_pressure.xlsx","exact",""
"riosleyvraz2020","Diet","riosleyvrazHealthEffectsUse2022","2022","Health Effects of the Use of Non-Sugar Sweeteners: A Systematic Review and Meta-Analysis","","","","","techreport","data/Diet/riosleyvraz2020","riosleyvraz2020_diet_nns_body_mass_index.csv; riosleyvraz2020_diet_nns_body_mass_index.xlsx; riosleyvraz2020_diet_nns_body_weight.csv; riosleyvraz2020_diet_nns_body_weight.xlsx","probable","matched by surname; bib year 2022 vs src year 2020 (yr-diff 2, within ±2)"
"rogers2020","Diet","rogersEffectsLowcalorieSweeteners2021","2021","The Effects of Low-Calorie Sweeteners on Energy Intake and Body Weight: A Systematic Review and Meta-Analyses of Sustained Intervention Studies","International Journal of Obesity","10.1038/s41366-020-00704-2","","","article","data/Diet/rogers2020","rogers2020_diet_nns_body_weight.csv; rogers2020_diet_nns_body_weight.xlsx; rogers2020_diet_nns_energy_intake.csv; rogers2020_diet_nns_energy_intake.xlsx","probable","matched by surname; bib year 2021 vs src year 2020 (yr-diff 1, within ±1)"
"saneei2014","Diet","saneeiInfluenceDietaryApproaches2014","2014","Influence of Dietary Approaches to Stop Hypertension (DASH) Diet on Blood Pressure: A Systematic Review and Meta-Analysis on Randomized Controlled Trials","Nutrition, Metabolism and Cardiovascular Diseases","10.1016/j.numecd.2014.06.008","","","article","data/Diet/saneei2014","saneei2014_diet_diastolic_blood_pressure.csv; saneei2014_diet_diastolic_blood_pressure.xlsx; saneei2014_diet_systolic_blood_pressure.csv; saneei2014_diet_systolic_blood_pressure.xlsx","exact",""
"shannon2020","Diet","shannonMediterraneanDietIncreases2020","2020","Mediterranean Diet Increases Endothelial Function in Adults: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","The Journal of Nutrition","10.1093/jn/nxaa002","","","article","data/Diet/shannon2020","shannon2020_diet_endothelial_function.csv; shannon2020_diet_endothelial_function.xlsx","exact",""
"zare2024","Diet","zareEffectSteviaBlood2024","2024","Effect of Stevia on Blood Glucose and HbA1C: A Meta-Analysis","Diabetes \& Metabolic Syndrome: Clinical Research \& Reviews","10.1016/j.dsx.2024.103092","","","article","data/Diet/zare2024","zare2024_diet_nns_blood_glucose.csv; zare2024_diet_nns_blood_glucose.xlsx; zare2024_diet_nns_insulin_concentration.csv; zare2024_diet_nns_insulin_concentration.xlsx","exact",""
"dai2025","Fasting","daiAdditionalEffectExercise2025","2025","Additional Effect of Exercise to Intermittent Fasting on Body Composition and Cardiometabolic Health in Adults With Overweight/Obesity: A Systematic Review and Meta-analysis","Current Obesity Reports","10.1007/s13679-025-00645-9","","","article","data/Fasting/dai2025","dai2025_fasting_fat_mass.csv; dai2025_fasting_fat_mass.xlsx","exact",""
"fernando2019","Fasting","fernandoEffectRamadanFasting2019","2019","Effect of Ramadan Fasting on Weight and Body Composition in Healthy Non-Athlete Adults: A Systematic Review and Meta-Analysis","Nutrients","10.3390/nu11020478","","","article","data/Fasting/fernando2019","fernando2019_fasting_BMI.csv; fernando2019_fasting_BMI.xlsx","exact",""
"gu2022","Fasting","guEffectsIntermittentFasting2022","2022","Effects of Intermittent Fasting in Human Compared to a Non-intervention Diet and Caloric Restriction: A Meta-Analysis of Randomized Controlled Trials","Frontiers in Nutrition","10.3389/fnut.2022.871682","","","article","data/Fasting/gu2022","gu2022_fasting_BMI.csv; gu2022_fasting_BMI.xlsx; gu2022_fasting_fat_free_mass.csv; gu2022_fasting_fat_free_mass.xlsx; gu2022_fasting_fat_mass.csv; gu2022_fasting_fat_mass.xlsx; gu2022_fasting_total_cholesterol.csv; gu2022_fasting_total_cholesterol.xlsx; gu2022_fasting_triglycerides.csv; gu2022_fasting_triglycerides.xlsx","exact",""
"jahrami2020","Fasting","jahramiSystematicReviewMetaanalysis2020","2020","A Systematic Review, Meta-Analysis, and Meta-Regression of the Impact of Diurnal Intermittent Fasting during Ramadan on Body Weight in Healthy Subjects Aged 16 Years and Above","European Journal of Nutrition","10.1007/s00394-020-02216-1","","","article","data/Fasting/jahrami2020","jahrami2020_fasting_body_weight.csv; jahrami2020_fasting_body_weight.xlsx","exact",""
"khalafi2025","Fasting","khalafiEfficacyIntermittentFasting2025","2025","Efficacy of Intermittent Fasting on Improving Liver Function in Individuals with Metabolic Disorders: A Systematic Review and Meta-Analysis","Nutrition \& Metabolism","10.1186/s12986-024-00885-x","","","article","data/Fasting/khalafi2025","khalafi2025_fasting_alanine_aminotransferase.csv; khalafi2025_fasting_alanine_aminotransferase.xlsx; khalafi2025_fasting_aspartate_aminotransferase.csv; khalafi2025_fasting_aspartate_aminotransferase.xlsx","exact",""
"kordvarkaneh2020","Fasting","kord-varkanehInfluenceFastingEnergy2020","2020","The Influence of Fasting and Energy Restricting Diets on Blood Pressure in Humans: A Systematic Review and Meta-Analysis","High Blood Pressure \& Cardiovascular Prevention","10.1007/s40292-020-00391-0","","","article","data/Fasting/kordvarkaneh2020","kordvarkaneh2020_fasting_diastolic_blood_pressure.csv; kordvarkaneh2020_fasting_diastolic_blood_pressure.xlsx; kordvarkaneh2020_fasting_systolic_blood_pressure.csv; kordvarkaneh2020_fasting_systolic_blood_pressure.xlsx","exact",""
"meng2020","Fasting","mengEffectsIntermittentFasting2020","2020","Effects of Intermittent Fasting and Energy-Restricted Diets on Lipid Profile: A Systematic Review and Meta-Analysis","Nutrition","10.1016/j.nut.2020.110801","","","article","data/Fasting/meng2020","meng2020_fasting_hdl_cholesterol.xlsx; meng2020_fasting_hdl_cholesterol_excl.csv; meng2020_fasting_ldl_cholesterol.csv; meng2020_fasting_ldl_cholesterol.xlsx; meng2020_fasting_total_cholesterol.csv; meng2020_fasting_total_cholesterol.xlsx; meng2020_fasting_triglycerides.csv; meng2020_fasting_triglycerides.xlsx","exact",""
"vieira2016","Fasting","vieiraEffectsAerobicExercise2016","2016","Effects of Aerobic Exercise Performed in Fasted \emphv. Fed State on Fat and Carbohydrate Metabolism in Adults: A Systematic Review and Meta-Analysis","British Journal of Nutrition","10.1017/S0007114516003160","","","article","data/Fasting/vieira2016","vieira2016_fasting_fat_oxidation.csv; vieira2016_fasting_fat_oxidation.xlsx; vieira2016_fasting_serum_glucose.csv; vieira2016_fasting_serum_glucose.xlsx; vieira2016_fasting_serum_insulin.csv; vieira2016_fasting_serum_insulin.xlsx","exact",""
"wang2020","Fasting","wangEffectsIntermittentFasting2020","2020","Effects of Intermittent Fasting Diets on Plasma Concentrations of Inflammatory Biomarkers: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","Nutrition","10.1016/j.nut.2020.110974","","","article","data/Fasting/wang2020","wang2020_fasting_C_reactive_protein.xlsx; wang2020_fasting_C_reactive_protein_excl.csv","exact",""
"xie2024","Fasting","xieEffectsTimeRestrictedEating2024","2024","The Effects of Time-Restricted Eating on Fat Loss in Adults with Overweight and Obese Depend upon the Eating Window and Intervention Strategies: A Systematic Review and Meta-Analysis","Nutrients","10.3390/nu16193390","","","article","data/Fasting/xie2024","xie2024_fasting_body_fat.xlsx; xie2024_fasting_body_fat_excl.csv; xie2024_fasting_lean_mass.csv; xie2024_fasting_lean_mass.xlsx","exact",""
"yang2021","Fasting","yangEffectEpidemicIntermittent2021","2021","Effect of Epidemic Intermittent Fasting on Cardiometabolic Risk Factors: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","Frontiers in Nutrition","10.3389/fnut.2021.669325","","","article","data/Fasting/yang2021","yang2021_fasting_blood_glucose.csv; yang2021_fasting_blood_glucose.xlsx; yang2021_fasting_body_weight.csv; yang2021_fasting_body_weight.xlsx; yang2021_fasting_triglycerides.csv; yang2021_fasting_triglycerides.xlsx","exact",""
"chiavaroli2015","Fiber","chiavaroliDietaryFiberEffects2015","2015","Dietary Fiber Effects in Chronic Kidney Disease: A Systematic Review and Meta-Analysis of Controlled Feeding Trials","European Journal of Clinical Nutrition","10.1038/ejcn.2014.237","","","article","data/Fiber/chiavaroli2015","chiavaroli2015_fiber_creatinine.csv; chiavaroli2015_fiber_creatinine.xlsx; chiavaroli2015_fiber_urea.csv; chiavaroli2015_fiber_urea.xlsx","exact",""
"gupta2025","Fiber","guptaEffectSolubleFiber2025","2025","Effect of Soluble Fiber Supplementation on Lipid Parameters in Subjects with Type 2 Diabetes: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","Prostaglandins \& Other Lipid Mediators","10.1016/j.prostaglandins.2024.106939","","","article","data/Fiber/gupta2025","gupta2025_fiber_hdl_cholesterol.csv; gupta2025_fiber_hdl_cholesterol.xlsx; gupta2025_fiber_ldl_cholesterol.csv; gupta2025_fiber_ldl_cholesterol.xlsx; gupta2025_fiber_total_cholesterol.xlsx; gupta2025_fiber_total_cholesterol_excl.csv; gupta2025_fiber_triglycerides.xlsx; gupta2025_fiber_triglycerides_excl.csv","exact",""
"jovanovski2019","Fiber","jovanovskiShouldViscousFiber2019","2019","Should Viscous Fiber Supplements Be Considered in Diabetes Control? Results From a Systematic Review and Meta-analysis of Randomized Controlled Trials","Diabetes Care","10.2337/dc18-1126","","","article","data/Fiber/jovanovski2019","jovanovski2019_fiber_fasting_glucose.csv; jovanovski2019_fiber_fasting_glucose.xlsx; jovanovski2019_fiber_hba1c.csv; jovanovski2019_fiber_hba1c.xlsx; jovanovski2019_fiber_homa_ir.xlsx; jovanovski2019_fiber_homa_ir_excl.csv","exact",""
"khan2018","Fiber","khanEffectViscousSoluble2018","2018","The Effect of Viscous Soluble Fiber on Blood Pressure: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","Nutrition, Metabolism and Cardiovascular Diseases","10.1016/j.numecd.2017.09.007","","","article","data/Fiber/khan2018","khan2018_fiber_diastolic_bp.csv; khan2018_fiber_diastolic_bp.xlsx; khan2018_fiber_systolic_bp.csv; khan2018_fiber_systolic_bp.xlsx","exact",""
"post2012","Fiber","postDietaryFiberTreatment2012","2012","Dietary Fiber for the Treatment of Type 2 Diabetes Mellitus: A Meta-Analysis","The Journal of the American Board of Family Medicine","10.3122/jabfm.2012.01.110148","","","article","data/Fiber/post2012","post2012_fiber_fasting_glucose.csv; post2012_fiber_fasting_glucose.xlsx; post2012_fiber_hba1c.csv; post2012_fiber_hba1c.xlsx","exact",""
"silva2013","Fiber","silvaFiberIntakeGlycemic2013","2013","Fiber Intake and Glycemic Control in Patients with Type 2 Diabetes Mellitus: A Systematic Review with Meta-Analysis of Randomized Controlled Trials","Nutrition Reviews","10.1111/nure.12076","","","article","data/Fiber/silva2013","silva2013_fiber_fasting_glucose.csv; silva2013_fiber_fasting_glucose.xlsx; silva2013_fiber_hba1c.csv; silva2013_fiber_hba1c.xlsx","exact",""
"so2018","Fiber","soDietaryFiberIntervention2018","2018","Dietary Fiber Intervention on Gut Microbiota Composition in Healthy Adults: A Systematic Review and Meta-Analysis","The American Journal of Clinical Nutrition","10.1093/ajcn/nqy041","","","article","data/Fiber/so2018","so2018_fiber_bifidobacterium.csv; so2018_fiber_bifidobacterium.xlsx; so2018_fiber_lactobacillus.csv; so2018_fiber_lactobacillus.xlsx","exact",""
"streppel2005","Fiber","streppelDietaryFiberBlood2005","2005","Dietary Fiber and Blood Pressure: A Meta-Analysis of Randomized Placebo-Controlled Trials","Archives of Internal Medicine","10.1001/archinte.165.2.150","","","article","data/Fiber/streppel2005","streppel2005_fiber_diastolic_bp.csv; streppel2005_fiber_diastolic_bp.xlsx; streppel2005_fiber_systolic_bp.csv; streppel2005_fiber_systolic_bp.xlsx","exact",""
"thompson2017","Fiber","thompsonEffectsIsolatedSoluble2017","2017","Effects of Isolated Soluble Fiber Supplementation on Body Weight, Glycemia, and Insulinemia in Adults with Overweight and Obesity: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","The American Journal of Clinical Nutrition","10.3945/ajcn.117.163246","","","article","data/Fiber/thompson2017","thompson2017_fiber_body_weight.xlsx; thompson2017_fiber_body_weight_excl.csv","exact",""
"whelton2005","Fiber","wheltonEffectDietaryFiber2005","2005","Effect of Dietary Fiber Intake on Blood Pressure: A Meta-Analysis of Randomized, Controlled Clinical Trials","Journal of Hypertension","10.1097/01.hjh.0000160199.51158.cf","","","article","data/Fiber/whelton2005","whelton2005_fiber_diastolic_bp.csv; whelton2005_fiber_diastolic_bp.xlsx; whelton2005_fiber_systolic_bp.csv; whelton2005_fiber_systolic_bp.xlsx","exact",""
"abdelhamid2018","Omega3","abdelhamidOmega3FattyAcids2020","2020","Omega-3 Fatty Acids for the Primary and Secondary Prevention of Cardiovascular Disease","Cochrane Database of Systematic Reviews","10.1002/14651858.CD003177.pub5","","","article","data/Omega3/abdelhamid2018","abdelhamid2018_omega3_all_cause_mortality.csv; abdelhamid2018_omega3_all_cause_mortality.xlsx; abdelhamid2018_omega3_cardiovascular_events.csv; abdelhamid2018_omega3_cardiovascular_events.xlsx; abdelhamid2018_omega3_coronary_heart_disease_events.csv; abdelhamid2018_omega3_coronary_heart_disease_events.xlsx; abdelhamid2018_omega3_stroke.csv; abdelhamid2018_omega3_stroke.xlsx; abdelhamid2018_omega3_triglycerides.csv; abdelhamid2018_omega3_triglycerides.xlsx","probable","matched by surname; bib year 2020 vs src year 2018 (yr-diff 2, within ±2)"
"bloch2012","Omega3","blochOmega3FattyAcids2012","2012","Omega-3 Fatty Acids for the Treatment of Depression: Systematic Review and Meta-Analysis","Molecular Psychiatry","10.1038/mp.2011.100","","","article","data/Omega3/bloch2012","bloch2012_omega3_depression.xlsx; bloch2012_omega3_depression_excl.csv","exact",""
"brown2019","Omega3","brownOmega3Omega6Total2019","2019","Omega-3, Omega-6, and Total Dietary Polyunsaturated Fat for Prevention and Treatment of Type 2 Diabetes Mellitus: Systematic Review and Meta-Analysis of Randomised Controlled Trials","BMJ","10.1136/bmj.l4697","","","article","data/Omega3/brown2019","brown2019_omega3_fasting_glucose.csv; brown2019_omega3_fasting_glucose.xlsx","exact",""
"goldberg2007","Omega3","goldbergMetaanalysisAnalgesicEffects2007","2007","A Meta-Analysis of the Analgesic Effects of Omega-3 Polyunsaturated Fatty Acid Supplementation for Inflammatory Joint Pain","Pain","10.1016/j.pain.2007.01.020","","","article","data/Omega3/goldberg2007","goldberg2007_omega3_pain_assessment.csv; goldberg2007_omega3_pain_assessment.xlsx; goldberg2007_omega3_painful_tender_joints.csv; goldberg2007_omega3_painful_tender_joints.xlsx","exact",""
"grosso2014","Omega3","grossoRoleOmega3Fatty2014","2014","Role of Omega-3 Fatty Acids in the Treatment of Depressive Disorders: A Comprehensive Meta-Analysis of Randomized Clinical Trials","PLoS ONE","10.1371/journal.pone.0096905","","","article","data/Omega3/grosso2014","grosso2014_omega3_depression_diagnosis.csv; grosso2014_omega3_depression_diagnosis.xlsx","exact",""
