cell,stratum,cell_slug,legacy_cell_code,eff_band,effect_slug,effect_label,mu_true,het_band,heterogeneity_slug,heterogeneity_label,tau_true,bias_band,bias_slug,bias_label,selection,w_sig01,w_sig05,w_ns,smallstudy_alpha,cell_label,stress_role,notes
moderate_lowhet_highbias,sim_moderate_lowhet_highbias,moderate_lowhet_highbias,e2_h0_b2,e2,moderate,moderate effect,0.25,h0,lowhet,low heterogeneity,0.05,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,moderate effect / low heterogeneity / severe composite bias burden,severe-bias stress,central non-null effect regime | low heterogeneity / near homogeneous | threshold selection plus stronger SE-proportional small-study bias
moderate_midhet_clean,sim_moderate_midhet_clean,moderate_midhet_clean,e2_h1_b0,e2,moderate,moderate effect,0.25,h1,midhet,mid heterogeneity,0.15,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,moderate effect / mid heterogeneity / clean / no bias mechanism,calibration/core,central non-null effect regime | central heterogeneity regime | negative-control bias regime
moderate_midhet_modbias,sim_moderate_midhet_modbias,moderate_midhet_modbias,e2_h1_b1,e2,moderate,moderate effect,0.25,h1,midhet,mid heterogeneity,0.15,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,moderate effect / mid heterogeneity / moderate composite bias burden,calibration/core,central non-null effect regime | central heterogeneity regime | threshold selection plus mild SE-proportional small-study bias
moderate_midhet_highbias,sim_moderate_midhet_highbias,moderate_midhet_highbias,e2_h1_b2,e2,moderate,moderate effect,0.25,h1,midhet,mid heterogeneity,0.15,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,moderate effect / mid heterogeneity / severe composite bias burden,severe-bias stress,central non-null effect regime | central heterogeneity regime | threshold selection plus stronger SE-proportional small-study bias
moderate_highhet_clean,sim_moderate_highhet_clean,moderate_highhet_clean,e2_h2_b0,e2,moderate,moderate effect,0.25,h2,highhet,high heterogeneity,0.40,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,moderate effect / high heterogeneity / clean / no bias mechanism,high-heterogeneity stress,central non-null effect regime | stress / high-dispersion regime | negative-control bias regime
moderate_highhet_modbias,sim_moderate_highhet_modbias,moderate_highhet_modbias,e2_h2_b1,e2,moderate,moderate effect,0.25,h2,highhet,high heterogeneity,0.40,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,moderate effect / high heterogeneity / moderate composite bias burden,high-heterogeneity stress,central non-null effect regime | stress / high-dispersion regime | threshold selection plus mild SE-proportional small-study bias
moderate_highhet_highbias,sim_moderate_highhet_highbias,moderate_highhet_highbias,e2_h2_b2,e2,moderate,moderate effect,0.25,h2,highhet,high heterogeneity,0.40,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,moderate effect / high heterogeneity / severe composite bias burden,high-heterogeneity stress; severe-bias stress,central non-null effect regime | stress / high-dispersion regime | threshold selection plus stronger SE-proportional small-study bias
large_lowhet_clean,sim_large_lowhet_clean,large_lowhet_clean,e3_h0_b0,e3,large,large effect,0.50,h0,lowhet,low heterogeneity,0.05,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,large effect / low heterogeneity / clean / no bias mechanism,large-effect stress,"stress / high-signal regime, not assumed typical of nutrition | low heterogeneity / near homogeneous | negative-control bias regime"
large_lowhet_modbias,sim_large_lowhet_modbias,large_lowhet_modbias,e3_h0_b1,e3,large,large effect,0.50,h0,lowhet,low heterogeneity,0.05,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,large effect / low heterogeneity / moderate composite bias burden,large-effect stress,"stress / high-signal regime, not assumed typical of nutrition | low heterogeneity / near homogeneous | threshold selection plus mild SE-proportional small-study bias"
large_lowhet_highbias,sim_large_lowhet_highbias,large_lowhet_highbias,e3_h0_b2,e3,large,large effect,0.50,h0,lowhet,low heterogeneity,0.05,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,large effect / low heterogeneity / severe composite bias burden,large-effect stress; severe-bias stress,"stress / high-signal regime, not assumed typical of nutrition | low heterogeneity / near homogeneous | threshold selection plus stronger SE-proportional small-study bias"
large_midhet_clean,sim_large_midhet_clean,large_midhet_clean,e3_h1_b0,e3,large,large effect,0.50,h1,midhet,mid heterogeneity,0.15,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,large effect / mid heterogeneity / clean / no bias mechanism,large-effect stress,"stress / high-signal regime, not assumed typical of nutrition | central heterogeneity regime | negative-control bias regime"
large_midhet_modbias,sim_large_midhet_modbias,large_midhet_modbias,e3_h1_b1,e3,large,large effect,0.50,h1,midhet,mid heterogeneity,0.15,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,large effect / mid heterogeneity / moderate composite bias burden,large-effect stress,"stress / high-signal regime, not assumed typical of nutrition | central heterogeneity regime | threshold selection plus mild SE-proportional small-study bias"
large_midhet_highbias,sim_large_midhet_highbias,large_midhet_highbias,e3_h1_b2,e3,large,large effect,0.50,h1,midhet,mid heterogeneity,0.15,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,large effect / mid heterogeneity / severe composite bias burden,large-effect stress; severe-bias stress,"stress / high-signal regime, not assumed typical of nutrition | central heterogeneity regime | threshold selection plus stronger SE-proportional small-study bias"
large_highhet_clean,sim_large_highhet_clean,large_highhet_clean,e3_h2_b0,e3,large,large effect,0.50,h2,highhet,high heterogeneity,0.40,b0,clean,clean / no bias mechanism,none,1.00,1.00,1.00,0.00,large effect / high heterogeneity / clean / no bias mechanism,large-effect stress; high-heterogeneity stress,"stress / high-signal regime, not assumed typical of nutrition | stress / high-dispersion regime | negative-control bias regime"
large_highhet_modbias,sim_large_highhet_modbias,large_highhet_modbias,e3_h2_b1,e3,large,large effect,0.50,h2,highhet,high heterogeneity,0.40,b1,modbias,moderate composite bias burden,threshold,1.00,0.50,0.20,0.25,large effect / high heterogeneity / moderate composite bias burden,large-effect stress; high-heterogeneity stress,"stress / high-signal regime, not assumed typical of nutrition | stress / high-dispersion regime | threshold selection plus mild SE-proportional small-study bias"
large_highhet_highbias,sim_large_highhet_highbias,large_highhet_highbias,e3_h2_b2,e3,large,large effect,0.50,h2,highhet,high heterogeneity,0.40,b2,highbias,severe composite bias burden,threshold,1.00,0.25,0.05,0.50,large effect / high heterogeneity / severe composite bias burden,large-effect stress; high-heterogeneity stress; severe-bias stress,"stress / high-signal regime, not assumed typical of nutrition | stress / high-dispersion regime | threshold selection plus stronger SE-proportional small-study bias"
